Workload,No Prefetching,1-Offset,Gaze-PHT4SS,Gaze-SM4SS,Full Gaze,Gaze-DynDCSM-4SS
gcc-17,0.0,0.0,0.0,0.0,0.1434521136557748,0.23779529106560277
bwaves-1963,0.0,0.0,0.0,0.0,0.050611458656504245,0.000838600999007818
429_51,0.0,0.0,0.0,0.0,0.0,0.0
cactusADM-1804,0.0,0.0,0.0,0.0,0.24966195805402916,0.29736748585331185
leslie3d-271,0.0,0.0,0.0,0.0,0.34748156284324494,0.3069607765764344
soplex-92,0.0,0.0,0.0,0.0,0.07241891623056111,0.08402655187796201
libquantum-714,0.0,0.0,0.0,0.0,0.14911852017945815,0.0
roms_s-523,0.0,0.0,0.0,0.0,0.9279110053997573,1.29013718795363
BC-5,0.0,0.0,0.0,0.0,0.07024377913620919,0.0729548442666263
BFS-14,0.0,0.0,0.0,0.0,0.2692156060784942,0.2959207393243074
CC-5,0.0,0.0,0.0,0.0,0.032771938496263045,0.03447136494934476
PR-3,0.0,0.0,0.0,0.0,0.005429107498180709,0.003008328655422203
SSSP-14,0.0,0.0,0.0,0.0,0.08722275346591743,0.09018583080887217
