Workload,No Prefetching,1-Offset,Gaze-PHT4SS,Gaze-SM4SS,Full Gaze,Gaze-DynDCSM-4SS
gcc-17,0.0,0.0,0.0,0.0,0.12806966567169437,1.220883613065524
bwaves-1963,0.0,0.0,0.0,0.0,0.7485309711565621,5.865343594819201
429_51,0.0,0.0,0.0,0.0,0.0,0.0
cactusADM-1804,0.0,0.0,0.0,0.0,1.1051813918697315,13.678795002870343
leslie3d-271,0.0,0.0,0.0,0.0,0.7248744704220932,14.049719832688817
soplex-92,0.0,0.0,0.0,0.0,0.044358378475755446,0.30652930657810956
libquantum-714,0.0,0.0,0.0,0.0,1.0920134996061657,3.4980217257326203
roms_s-523,0.0,0.0,0.0,0.0,0.44345034526137783,2.823238126392836
BC-5,0.0,0.0,0.0,0.0,0.001071230346501523,0.018546606099400967
BFS-14,0.0,0.0,0.0,0.0,0.06619891720497209,1.4670956618060245
CC-5,0.0,0.0,0.0,0.0,0.004160704512063828,0.17989189883594878
PR-3,0.0,0.0,0.0,0.0,0.03313788987994542,0.10073985719234568
SSSP-14,0.0,0.0,0.0,0.0,0.0007858228367935802,0.12418662296737351
