Workload,No Prefetching,1-Offset,Gaze-PHT4SS,Gaze-SM4SS,Full Gaze,Gaze-DynDCSM-4SS
gcc-17,1.0,0.6667019356243796,1.0075338318941707,1.0131060360320403,0.9777365677544131,0.9923602386848552
bwaves-1963,1.0,2.391123012813399,2.2382744066688702,2.240468490554485,2.6692283592520663,2.6582292121707494
429_51,1.0,1.0081282934017979,1.0001707271481501,1.0,1.0124474646941244,1.0162895555609808
cactusADM-1804,1.0,1.2532192991093003,1.425939177366858,1.5383429586160264,1.5622799303094996,1.5606370044762694
leslie3d-271,1.0,1.7211051687418393,1.8748049414802632,1.9502369532178427,2.0219151084870646,2.006793687909454
soplex-92,1.0,1.2174551057984937,1.125797654865608,1.1580393260570288,1.2285646789814093,1.197936235716481
libquantum-714,1.0,1.4998548678555716,1.2504177833035486,1.2504177833035486,1.5406174849852579,1.644403892672037
roms_s-523,1.0,1.1567726291828966,1.0551632492356722,1.0816274113589557,1.2285011648037436,1.2381812456403156
BC-5,1.0,0.7508555706049055,0.9973817741702076,0.9720744183482989,0.9361586249037216,0.9552506613007853
BFS-14,1.0,1.5745726753321054,1.7016702424105192,1.921530761457276,2.0161820892723785,1.9108281530627615
CC-5,1.0,0.8209896784930087,1.0665068664510895,1.1132847226635911,1.1051126474095712,1.1048182480400928
PR-3,1.0,0.9548628668752163,1.025898302034364,1.0444846538819537,1.0585371503735146,1.0661735473423786
SSSP-14,1.0,0.7337735821774296,1.0122806389461667,1.016516014136679,1.0060534381133466,1.0089131224245897
